YearsExperience,Salary
4.06,50735.24
9.53,76154.96
7.45,67708.8
6.19,51012.16
1.98,38801.64
1.98,41685.56
1.05,42639.47
8.73,71058.65
6.21,57007.53
7.23,63641.21
0.7,38077.01
9.71,80193.76
8.41,69401.2
2.52,45166.34
2.23,41635.39
2.24,46043.22
3.39,43439.73
5.49,55811.69
4.6,51039.46
3.27,39032.43
6.31,63030.6
1.83,40455.28
3.28,46425.57
3.98,48727.06
4.83,47073.15
7.96,67696.77
2.4,40286.43
5.39,52938.61
6.13,59843.57
0.94,36720.25
6.27,70780.93
2.12,41472.89
1.12,36887.75
9.51,77177.77
9.67,68756.14
8.18,70767.43
3.39,47251.15
1.43,49466.21
7.0,64038.2
4.68,54907.74
1.66,38126.44
5.2,50156.61
0.83,39864.11
9.14,79459.67
2.96,48755.16
6.79,59403.06
3.46,54313.97
5.44,50190.74
5.69,61384.29
2.26,52252.28
9.71,73597.32
7.86,66468.51
9.43,77648.26
9.0,72482.62
6.18,53146.68
9.26,76642.81
1.34,31388.48
2.36,44167.96
0.93,30052.88
3.59,55699.67
4.19,47033.73
3.08,43789.69
8.37,75917.59
3.89,43295.68
3.17,46987.3
5.66,64835.71
1.84,31162.58
8.12,71523.17
1.21,37349.41
9.88,83309.11
7.84,63015.25
2.39,35347.72
0.55,35359.71
8.25,72734.92
7.22,67352.46
7.43,68882.24
7.83,65749.88
1.2,37161.27
3.91,51015.36
1.6,34428.24
8.7,82828.87
6.42,64469.16
3.64,42243.48
1.1,38782.77
3.45,42376.59
3.59,51885.42
7.43,72942.98
6.56,58696.59
8.93,79466.88
4.99,57013.9
1.64,42310.3
7.28,75883.96
7.73,67423.06
5.83,55381.32
7.82,64652.43
5.19,51870.95
5.47,56964.49
4.56,54505.76
0.74,35083.45
1.52,41735.92
