comment,label
"You're so dumb, I can’t believe you wrote this.!",toxic
This is the worst thing I’ve ever read.,toxic
Nobody cares about your opinion.!,toxic
"Stop talking, you sound pathetic.",toxic
"What a useless post, you should just quit.!",toxic
"You're so dumb, I can’t believe you wrote this.",toxic
This is the worst thing I’ve ever read.!,toxic
Nobody cares about your opinion.,toxic
"Stop talking, you sound pathetic.!",toxic
"What a useless post, you should just quit.",toxic
"You're so dumb, I can’t believe you wrote this.!",toxic
This is the worst thing I’ve ever read.,toxic
Nobody cares about your opinion.!,toxic
"Stop talking, you sound pathetic.",toxic
"What a useless post, you should just quit.!",toxic
"You're so dumb, I can’t believe you wrote this.",toxic
This is the worst thing I’ve ever read.!,toxic
Nobody cares about your opinion.,toxic
"Stop talking, you sound pathetic.!",toxic
"What a useless post, you should just quit.",toxic
"You're so dumb, I can’t believe you wrote this.!",toxic
This is the worst thing I’ve ever read.,toxic
Nobody cares about your opinion.!,toxic
"Stop talking, you sound pathetic.",toxic
"What a useless post, you should just quit.!",toxic
"You're so dumb, I can’t believe you wrote this.",toxic
This is the worst thing I’ve ever read.!,toxic
Nobody cares about your opinion.,toxic
"Stop talking, you sound pathetic.!",toxic
"What a useless post, you should just quit.",toxic
"You're so dumb, I can’t believe you wrote this.!",toxic
This is the worst thing I’ve ever read.,toxic
Nobody cares about your opinion.!,toxic
"Stop talking, you sound pathetic.",toxic
"What a useless post, you should just quit.!",toxic
"You're so dumb, I can’t believe you wrote this.",toxic
This is the worst thing I’ve ever read.!,toxic
Nobody cares about your opinion.,toxic
"Stop talking, you sound pathetic.!",toxic
"What a useless post, you should just quit.",toxic
"You're so dumb, I can’t believe you wrote this.!",toxic
This is the worst thing I’ve ever read.,toxic
Nobody cares about your opinion.!,toxic
"Stop talking, you sound pathetic.",toxic
"What a useless post, you should just quit.!",toxic
"You're so dumb, I can’t believe you wrote this.",toxic
This is the worst thing I’ve ever read.!,toxic
Nobody cares about your opinion.,toxic
"Stop talking, you sound pathetic.!",toxic
"What a useless post, you should just quit.",toxic
"This is a really thoughtful post, thank you for sharing.!",supportive
Great job! You explained that really well.,supportive
I appreciate the effort you put into this.!,supportive
"Keep going, you’re doing amazing!",supportive
"That’s a smart perspective, I learned something new.!",supportive
"This is a really thoughtful post, thank you for sharing.",supportive
Great job! You explained that really well.!,supportive
I appreciate the effort you put into this.,supportive
"Keep going, you’re doing amazing!!",supportive
"That’s a smart perspective, I learned something new.",supportive
"This is a really thoughtful post, thank you for sharing.!",supportive
Great job! You explained that really well.,supportive
I appreciate the effort you put into this.!,supportive
"Keep going, you’re doing amazing!",supportive
"That’s a smart perspective, I learned something new.!",supportive
"This is a really thoughtful post, thank you for sharing.",supportive
Great job! You explained that really well.!,supportive
I appreciate the effort you put into this.,supportive
"Keep going, you’re doing amazing!!",supportive
"That’s a smart perspective, I learned something new.",supportive
"This is a really thoughtful post, thank you for sharing.!",supportive
Great job! You explained that really well.,supportive
I appreciate the effort you put into this.!,supportive
"Keep going, you’re doing amazing!",supportive
"That’s a smart perspective, I learned something new.!",supportive
"This is a really thoughtful post, thank you for sharing.",supportive
Great job! You explained that really well.!,supportive
I appreciate the effort you put into this.,supportive
"Keep going, you’re doing amazing!!",supportive
"That’s a smart perspective, I learned something new.",supportive
"This is a really thoughtful post, thank you for sharing.!",supportive
Great job! You explained that really well.,supportive
I appreciate the effort you put into this.!,supportive
"Keep going, you’re doing amazing!",supportive
"That’s a smart perspective, I learned something new.!",supportive
"This is a really thoughtful post, thank you for sharing.",supportive
Great job! You explained that really well.!,supportive
I appreciate the effort you put into this.,supportive
"Keep going, you’re doing amazing!!",supportive
"That’s a smart perspective, I learned something new.",supportive
"This is a really thoughtful post, thank you for sharing.!",supportive
Great job! You explained that really well.,supportive
I appreciate the effort you put into this.!,supportive
"Keep going, you’re doing amazing!",supportive
"That’s a smart perspective, I learned something new.!",supportive
"This is a really thoughtful post, thank you for sharing.",supportive
Great job! You explained that really well.!,supportive
I appreciate the effort you put into this.,supportive
"Keep going, you’re doing amazing!!",supportive
"That’s a smart perspective, I learned something new.",supportive
