title,author,genre,description
To Kill a Mockingbird,Harper Lee,Fiction,"Set in the 1930s American South, this novel follows Scout Finch as she learns about justice, morality, and empathy while observing her father defend an innocent black man accused of a crime."
1984,George Orwell,Dystopian,"In a totalitarian society dominated by surveillance and propaganda, Winston Smith struggles to maintain his individuality and sanity while secretly questioning Big Brother's regime."
The Great Gatsby,F. Scott Fitzgerald,Classic,"A tale of love, ambition, and wealth in 1920s New York, following the mysterious Jay Gatsby and his obsession with the beautiful Daisy Buchanan, exploring the decay of the American Dream."
Sapiens: A Brief History of Humankind,Yuval Noah Harari,Non-fiction,"A sweeping overview of human history, from the emergence of Homo sapiens in the Stone Age to the development of agriculture, writing, empires, and modern society, exploring how biology and culture shaped civilizations."
The Hobbit,J.R.R. Tolkien,Fantasy,"Bilbo Baggins, a quiet hobbit, is thrust into an epic adventure with dwarves and wizards to reclaim treasure from the dragon Smaug, learning courage, friendship, and self-discovery along the way."
Pride and Prejudice,Jane Austen,Romance,"Elizabeth Bennet navigates societal expectations, love, and misunderstandings in early 19th-century England, encountering the proud Mr. Darcy and discovering the challenges of marrying for love versus duty."
The Catcher in the Rye,J.D. Salinger,Fiction,"Holden Caulfield, a disillusioned teenager, wanders New York City after being expelled from school, struggling with identity, isolation, and the superficiality of the adult world."
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,"Harry Potter discovers he is a wizard on his 11th birthday and attends Hogwarts School of Witchcraft and Wizardry, making friends, uncovering secrets, and confronting the dark wizard who killed his parents."
The Da Vinci Code,Dan Brown,Thriller,"Symbologist Robert Langdon and cryptologist Sophie Neveu uncover a trail of clues hidden in works of art and historical artifacts, leading them to a religious conspiracy that could shake the foundations of Christianity."
The Alchemist,Paulo Coelho,Philosophical,"Santiago, a young shepherd from Spain, sets out on a journey to discover a hidden treasure, learning lessons about destiny, intuition, and the interconnectedness of all life along the way."
